Partner,Pair,lrv,metric,alpha,propr
ASV74,ASV7,15.73001987,rho,NA,-0.560223688
ASV72,ASV39,17.25060953,rho,NA,-0.559853905
ASV36,ASV1,7.365789875,rho,NA,-0.559808118
ASV78,ASV39,22.13622272,rho,NA,-0.559755147
ASV115,ASV27,29.91376559,rho,NA,-0.55972689
ASV58,COP1,4.408548961,rho,NA,-0.559469449
ASV171,ASV64,22.53914062,rho,NA,-0.55926424
ASV22,ASV15,38.41777423,rho,NA,-0.559145985
ASV68,ASV52,35.28023672,rho,NA,-0.55889441
ASV85,ASV81,16.3990496,rho,NA,-0.558722955
ASV113,ASV18,6.124697273,rho,NA,-0.558050173
ASV124,ASV76,32.73263799,rho,NA,-0.557890828
ASV167,ASV64,24.95675996,rho,NA,-0.556664307
ASV63,POL1,2.416505121,rho,NA,-0.555962272
ASV77,ASV75,7.861509448,rho,NA,-0.555953775
ASV101,ASV90,36.1256905,rho,NA,-0.555867519
ASV51,ASV29,7.75713254,rho,NA,-0.555847164
ASV94,ASV85,17.42933849,rho,NA,-0.555504995
ASV201,ASV27,27.99127211,rho,NA,-0.555165824
ASV56,FOR1,2.213406496,rho,NA,-0.554872976
ASV97,ASV56,1.73635188,rho,NA,-0.554264669
ASV17,ASV12,5.227064037,rho,NA,-0.553656472
ASV110,ASV48,31.92995975,rho,NA,-0.553078884
ASV49,ASV5,1.753376908,rho,NA,-0.552884987
ASV94,ASV75,16.35514691,rho,NA,-0.55269464
ASV73,ASV7,10.3599372,rho,NA,-0.552579277
ASV84,ASV7,10.3551781,rho,NA,-0.552441553
ASV42,ASV8,1.880902335,rho,NA,-0.549891803
ASV139,ASV73,15.89946195,rho,NA,-0.54971602
ASV78,GAS7,22.43391099,rho,NA,-0.54969349
ASV46,POL9,2.572219026,rho,NA,-0.548027235
ASV18,ASV17,8.435636958,rho,NA,-0.546630425
ASV171,ASV140,23.70819117,rho,NA,-0.546449318
ASV18,ASV6,8.767830798,rho,NA,-0.546330698
ASV37,BIV1,3.181844205,rho,NA,-0.5461175
ASV30,ASV5,2.784384457,rho,NA,-0.545707406
ASV29,ASV18,6.432078703,rho,NA,-0.54553609
ASV89,ASV68,39.12077344,rho,NA,-0.545099531
ASV23,ASV18,9.441797109,rho,NA,-0.545070859
ASV8,POL1,2.563056227,rho,NA,-0.544790619
ASV184,ASV80,34.81087063,rho,NA,-0.544630267
ASV27,ASV15,28.72967949,rho,NA,-0.544127571
ASV55,ISO1,3.67733517,rho,NA,-0.54410334
ASV68,ASV67,34.50034678,rho,NA,-0.54315904
ASV29,ISO1,4.532272894,rho,NA,-0.542487462
ASV115,ASV22,38.88420108,rho,NA,-0.542206979
ASV201,ASV22,37.06073305,rho,NA,-0.542051307
ASV81,ASV17,17.12523582,rho,NA,-0.541872904
ASV31,ASV7,9.014264232,rho,NA,-0.541415523
ASV73,ASV36,8.795342271,rho,NA,-0.540957355
ASV29,ASV7,8.965459389,rho,NA,-0.54091484
ASV201,COP2,19.87299896,rho,NA,-0.540780648
ASV81,ASV80,33.31622176,rho,NA,-0.540634868
ASV59,ASV28,3.949053424,rho,NA,-0.540405237
ASV77,ASV24,7.842147516,rho,NA,-0.539734923
ASV89,ASV18,25.3784227,rho,NA,-0.539692408
ASV71,ASV65,11.36074858,rho,NA,-0.538552392
COP1,AMP1,4.290119061,rho,NA,-0.538397882
ASV24,ASV7,9.064935596,rho,NA,-0.538016868
ASV77,ASV1,7.51539076,rho,NA,-0.537983196
ASV137,ASV82,35.19549479,rho,NA,-0.537858203
POL9,NEC6,2.588633413,rho,NA,-0.537825528
ASV219,ASV86,35.36091011,rho,NA,-0.537485142
ASV139,ASV74,21.00456216,rho,NA,-0.536682593
ASV24,ISO1,4.631411433,rho,NA,-0.536668806
ASV140,ASV134,25.50435782,rho,NA,-0.536355811
ASV219,ASV77,25.24589798,rho,NA,-0.536265743
ASV52,ASV39,21.68057176,rho,NA,-0.535987532
ASV124,ASV77,22.32150249,rho,NA,-0.535965803
ASV13,ASV7,8.561526403,rho,NA,-0.535323242
ASV45,POL9,1.912566757,rho,NA,-0.534389916
ASV101,ASV80,35.7994716,rho,NA,-0.534039606
ASV83,ASV67,31.40721866,rho,NA,-0.533728463
ASV58,NEC4,4.142253696,rho,NA,-0.533642663
ASV18,ASV13,6.011577822,rho,NA,-0.533639902
ASV51,ASV1,7.443487468,rho,NA,-0.533229328
ASV68,ASV7,25.67612953,rho,NA,-0.531815415
ASV101,ASV99,19.5820045,rho,NA,-0.531775864
ASV71,BIV1,11.36326724,rho,NA,-0.531561076
ASV73,ISO1,5.808395488,rho,NA,-0.531449189
ASV12,NEC1,5.052621377,rho,NA,-0.531313298
ASV87,ASV7,9.675373504,rho,NA,-0.530900989
ASV54,ISO1,3.810381511,rho,NA,-0.530860493
ASV39,ASV32,24.11591402,rho,NA,-0.530750436
ASV99,ASV46,4.666878833,rho,NA,-0.530667611
ASV124,ASV78,32.5641928,rho,NA,-0.530271694
ASV71,ASV23,13.7821236,rho,NA,-0.529479223
ASV60,ASV5,2.089371152,rho,NA,-0.52944988
ASV3,BIV1,3.040347305,rho,NA,-0.52924864
ASV85,ASV76,18.65531554,rho,NA,-0.528824311
ASV134,ASV47,36.86848041,rho,NA,-0.528593009
ASV46,ASV29,2.737522512,rho,NA,-0.528418177
ASV99,ASV22,25.74828143,rho,NA,-0.528320006
ASV108,ISO1,4.963677133,rho,NA,-0.528290736
ASV70,ASV26,1.58169107,rho,NA,-0.528016646
ASV68,ASV47,38.79726951,rho,NA,-0.527800688
ASV201,ASV94,28.9305879,rho,NA,-0.527309346
ASV54,ASV46,2.047615963,rho,NA,-0.52597694
ASV108,ASV46,3.205494224,rho,NA,-0.525949399
ASV88,ASV8,2.09168891,rho,NA,-0.525651349
ASV75,ASV18,6.402469774,rho,NA,-0.5255931
ASV63,BIV1,2.706643043,rho,NA,-0.525516242
ASV87,ASV27,15.34160451,rho,NA,-0.5254823
ASV100,ASV98,23.13129988,rho,NA,-0.525406551
ASV115,COP2,21.47243626,rho,NA,-0.525252371
ASV137,ASV83,30.56478567,rho,NA,-0.525175973
ASV12,COP1,4.089354182,rho,NA,-0.525109022
ASV59,ASV46,2.5883782,rho,NA,-0.525095809
ASV23,ISO1,7.453110303,rho,NA,-0.524936205
ASV78,ASV14,39.87390059,rho,NA,-0.524616258
ASV140,ASV92,27.22289168,rho,NA,-0.524386851
ASV39,ASV22,27.46141849,rho,NA,-0.524218075
ASV85,ASV56,3.457357333,rho,NA,-0.524127338
ASV70,ASV42,1.878117092,rho,NA,-0.524109454
ASV58,NEC1,5.24987192,rho,NA,-0.523849957
ASV112,ASV52,34.82260004,rho,NA,-0.523303501
ASV127,ASV112,30.18296377,rho,NA,-0.523277917
ASV79,GAS6,28.14601845,rho,NA,-0.522861945
ASV70,ASV65,2.83661453,rho,NA,-0.522036362
ASV76,ASV14,39.3895168,rho,NA,-0.52175548
ASV23,ASV5,5.595410528,rho,NA,-0.521307624
ASV115,ASV94,30.6088903,rho,NA,-0.521154641
ASV53,ISO1,15.07154523,rho,NA,-0.521013404
ASV100,ASV61,9.663179205,rho,NA,-0.520987867
ASV19,ASV8,1.976203809,rho,NA,-0.520981411
ASV54,ASV7,8.166124997,rho,NA,-0.52096904
ASV201,ASV76,30.31927303,rho,NA,-0.520552143
ASV99,ASV70,4.256005959,rho,NA,-0.520397986
POL16,COP2,7.161239922,rho,NA,-0.520176429
ASV201,ASV7,21.6714524,rho,NA,-0.519517414
ASV209,ASV74,22.73338542,rho,NA,-0.519427283
ASV52,GAS6,29.60611841,rho,NA,-0.519270762
ASV43,ASV7,15.84953854,rho,NA,-0.518890701
ASV139,ASV84,15.57921296,rho,NA,-0.518867641
ASV66,POL16,12.95971551,rho,NA,-0.518543317
ASV201,ASV78,30.66794762,rho,NA,-0.517555116
ASV82,ASV27,32.57150328,rho,NA,-0.517399916
ASV70,ASV9,1.76209436,rho,NA,-0.517383068
ASV87,ASV81,15.65271878,rho,NA,-0.517314604
ASV85,ASV72,14.16844828,rho,NA,-0.517202012
ASV30,ASV7,8.937135361,rho,NA,-0.517131601
ASV100,GAS7,14.01961248,rho,NA,-0.516499311
ASV7,GAS7,12.93497493,rho,NA,-0.516475589
ASV85,POL3,5.884464386,rho,NA,-0.516294887
ASV49,ISO1,3.545789388,rho,NA,-0.516219756
ASV18,ASV9,5.730944193,rho,NA,-0.515501485
ASV134,ASV43,24.76104956,rho,NA,-0.515374543
ASV115,ASV76,32.00399408,rho,NA,-0.515369561
ASV201,ASV67,30.08486815,rho,NA,-0.515066399
ASV94,ASV64,21.9644456,rho,NA,-0.514789503
ASV105,ASV71,12.00880904,rho,NA,-0.514567956
ASV201,ASV36,20.13799959,rho,NA,-0.51447136
ASV82,ASV78,35.83986761,rho,NA,-0.513813065
ASV34,POL3,4.179002256,rho,NA,-0.51369706
ASV100,GAS9,11.07107561,rho,NA,-0.513684858
ASV115,ASV78,32.37424753,rho,NA,-0.513611974
ASV70,ASV23,5.279988521,rho,NA,-0.512614395
ASV63,NEC1,3.999174074,rho,NA,-0.512377361
ASV75,ASV67,17.31082348,rho,NA,-0.512082663
ASV73,ASV18,7.584188411,rho,NA,-0.511948082
ASV100,ASV14,31.62036222,rho,NA,-0.51136185
ASV105,ASV94,17.17485285,rho,NA,-0.511142025
ASV112,ASV76,34.24714926,rho,NA,-0.510826326
ASV76,GAS6,29.14791004,rho,NA,-0.510648682
ASV115,ASV67,31.76709696,rho,NA,-0.510052709
ASV63,POL16,2.526613025,rho,NA,-0.510034443
ASV73,ASV48,13.4012246,rho,NA,-0.509611119
ASV124,ASV22,37.88735404,rho,NA,-0.509178625
ASV40,BIV1,3.153186909,rho,NA,-0.508880733
ASV92,ASV47,38.2880009,rho,NA,-0.508772059
ASV124,ASV89,36.028126,rho,NA,-0.508043205
ASV140,ASV101,24.7357066,rho,NA,-0.507965653
ASV51,ASV31,7.561837382,rho,NA,-0.507673824
ASV93,ASV33,36.12975606,rho,NA,-0.507661121
ASV85,ASV67,18.27114695,rho,NA,-0.507535953
ASV26,ASV7,8.00796637,rho,NA,-0.507534725
ASV112,ASV67,34.0456138,rho,NA,-0.50742304
ASV115,ASV7,23.27437601,rho,NA,-0.50721134
ASV139,ASV105,15.48231782,rho,NA,-0.507202829
ASV101,ASV87,18.11181799,rho,NA,-0.505829189
ASV85,ASV18,7.330322818,rho,NA,-0.505740221
ASV93,ASV25,28.93311223,rho,NA,-0.505529712
ASV99,ASV18,8.158653234,rho,NA,-0.505411908
ASV157,ASV87,16.33389862,rho,NA,-0.505147263
ASV82,ASV52,35.50857965,rho,NA,-0.504716682
ASV124,ASV33,35.54613522,rho,NA,-0.504715598
ASV92,ASV43,26.47761925,rho,NA,-0.50461621
ASV76,ASV75,17.34258199,rho,NA,-0.504015925
ASV85,ASV78,18.75380288,rho,NA,-0.503728769
ASV80,ASV25,31.82751482,rho,NA,-0.503237789
ASV263,ASV74,20.58517017,rho,NA,-0.503206844
ASV31,NEC4,3.858292005,rho,NA,-0.502578088
ASV94,GAS7,19.84733297,rho,NA,-0.502474952
ASV74,POL3,11.17443031,rho,NA,-0.502361684
ASV46,ASV39,6.336466315,rho,NA,-0.502172539
ASV171,ASV35,16.69357783,rho,NA,-0.502122422
ASV37,NEC1,4.398203323,rho,NA,-0.50211517
ASV51,ASV21,7.303760463,rho,NA,-0.501926955
ASV32,GAS7,24.08793264,rho,NA,-0.501877406
ASV66,BIV1,12.96462076,rho,NA,-0.5013447
ASV184,ASV50,16.42962106,rho,NA,-0.501204021
ASV167,ASV43,24.98932344,rho,NA,-0.501105569
ASV97,ASV7,8.065691884,rho,NA,-0.501000306
ASV56,ASV13,1.980593602,rho,NA,-0.500476784
