"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"3051","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","Portibacter",NA
"3052","Bacteria","Proteobacteria","Gammaproteobacteria","UBA10353 marine group",NA,NA,NA
"3053","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"3054","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","Ilumatobacter",NA
"3055","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae",NA,NA
"3056","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae",NA,NA
"3057","Bacteria","Patescibacteria","Gracilibacteria","JGI 0000069-P22",NA,NA,NA
"3058","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"3059","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria Incertae Sedis","Unknown Family",NA,NA
"3060","Bacteria","Firmicutes","Bacilli","Entomoplasmatales","Entomoplasmatales Incertae Sedis","Candidatus Hepatoplasma",NA
"3061","Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfurivibrionaceae","MSBL7",NA
"3062","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae",NA,NA
"3063","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Campylobacteraceae","Campylobacter",NA
"3064","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","SCGC AAA164-E04",NA
"3065","Bacteria","Myxococcota","Polyangia","Blfdi19",NA,NA,NA
"3066","Bacteria","Planctomycetota","OM190",NA,NA,NA,NA
"3067","Bacteria","Bacteroidota","Bacteroidia",NA,NA,NA,NA
"3068","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae",NA,NA
"3069","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"3070","Bacteria","Planctomycetota","028H05-P-BN-P5",NA,NA,NA,NA
"3071","Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","OM27 clade",NA
"3072","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"3073","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"3074","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae",NA,NA
"3075","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales",NA,NA,NA
"3076","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Maritimimonas",NA
"3077","Bacteria","Thermotogota","Thermotogae","Mesoaciditogales","Mesoaciditogaceae",NA,NA
"3078","Bacteria","Campylobacterota","Campylobacteria","Nautiliales","Nautiliaceae","Caminibacter",NA
"3079","Bacteria","Bacteroidota","Ignavibacteria","Ignavibacteriales","Melioribacteraceae","IheB3-7",NA
"3080","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Cryomorphaceae",NA,NA
"3081","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales",NA,NA,NA
"3082","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"3083","Bacteria","Patescibacteria","Gracilibacteria","JGI 0000069-P22",NA,NA,NA
"3084","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"3085","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae",NA,NA
"3086","Bacteria","Proteobacteria","Gammaproteobacteria","Arenicellales","Arenicellaceae","HTCC5015",NA
"3087","Bacteria","Myxococcota","Polyangia","Blfdi19",NA,NA,NA
"3088","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae","Luteolibacter",NA
"3089","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"3090","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"3091","Bacteria","Actinobacteriota","Actinobacteria",NA,NA,NA,NA
"3092","Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfosarcinaceae","Sva0081 sediment group",NA
"3093","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinifilaceae",NA,NA
"3094","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Sulfurovaceae","Sulfurovum",NA
"3095","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae",NA,NA
"3096","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Colwellia",NA
"3097","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Colwellia",NA
"3098","Bacteria","Campylobacterota","Campylobacteria","Nautiliales","Nautiliaceae","Caminibacter",NA
"3099","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Sulfurovaceae","Sulfurovum",NA
"3100","Bacteria","Patescibacteria","Gracilibacteria","JGI 0000069-P22",NA,NA,NA
"3101","Bacteria","Planctomycetota","OM190",NA,NA,NA,NA
"3102","Bacteria","NB1-j",NA,NA,NA,NA,NA
"3103","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"3104","Bacteria","Myxococcota","Polyangia","Haliangiales","Haliangiaceae","Haliangium",NA
"3105","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA
"3106","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Gimesiaceae",NA,NA
"3107","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","KI89A clade",NA,NA
